id,kanji,onyomi,kunyomi,meaning,score,taux,JLPT
670,低,tei,hikui,"lower;, short;, humble",9.0,0.269,2.0
671,復,fuku,mata,"restore, return, to, revert",9.0,0.269,2.0
672,移,i,utsuru,"shift, move, change",9.0,0.269,2.0
673,個,ko,/,"individual;, counter, for, articles",9.0,0.269,2.0
674,門,mon,"kado, to",gate,9.0,0.269,2.0
675,課,ka,/,"chapter, lesson, section, department",9.0,0.269,2.0
676,脳,nou,nouzuru,"brain;, memory",9.0,0.269,2.0
677,極,"kyoku, goku",kiwameru,"poles;, settlement;, conclusion;, end",9.0,0.269,2.0
678,含,gan,fukumu,"contain;, include",9.0,0.269,2.0
679,蔵,zou,kura,"storehouse;, hide;, own;, have;, possess",9.0,0.269,2.0
680,量,ryou,hakaru,"quantity;, measure;, weight;, amount",9.0,0.269,2.0
681,型,kei,kata,"type;, model",9.0,0.269,2.0
682,況,kyou,mashite,"condition;, situation",9.0,0.269,2.0
683,針,shin,hari,"needle;, pin;, staple;, stinger",9.0,0.269,2.0
684,専,sen,moppara,"specialty;, exclusive;, mainly;, solely",9.0,0.269,2.0
685,谷,koku,"tani, kiwamaru",valley,9.0,0.269,2.0
686,史,shi,/,"history;, chronicle",9.0,0.269,2.0
687,階,kai,kizahashi,"stair;, counter, for, building, story",9.0,0.269,2.0
688,管,kan,kuda,"pipe;, tube;, wind, instrument;, control;, jurisdiction",9.0,0.269,2.0
689,兵,"hei, hyou",tsuwamono,"soldier;, private;, troops;, army",9.0,0.269,2.0
690,接,setsu,tsugu,"touch;, contact;, adjoin;, piece, together",9.0,0.269,2.0
691,細,sai,"hosoi, komakai","slender;, narrow;, detailed;, precise",9.0,0.269,2.0
692,効,kou,kiku,"merit;, efficacy;, efficiency;, benefit",9.0,0.269,2.0
693,丸,gan,"maru, marui","round;, full, month;, perfection",9.0,0.269,2.0
694,湾,wan,irie,"gulf;, bay;, inlet",9.0,0.269,2.0
695,録,roku,toru,record,9.0,0.269,2.0
696,省,"sei, shou","kaerimiru, habuku","focus;, government, ministry;, conserve",9.0,0.269,2.0
697,旧,kyuu,"furui, moto","old, times;, old, things;, former;, ex-",9.0,0.269,2.0
698,橋,kyou,hashi,bridge,9.0,0.269,2.0
699,岸,gan,kishi,beach,9.0,0.269,2.0
700,周,shuu,mawari,"circumference;, circuit;, lap",9.0,0.269,2.0
701,材,zai,/,"lumber, log, timber, wood",9.0,0.269,2.0
702,戸,ko,to,"door;, counter, for, houses",9.0,0.269,2.0
703,央,ou,/,"center;, middle",9.0,0.269,2.0
704,券,ken,/,ticket,9.0,0.269,2.0
705,編,hen,amu,"compilation;, knit;, braid;, twist;, editing",9.0,0.269,2.0
706,捜,sou,sagasu,"search;, look, for;, locate",9.0,0.269,2.0
707,竹,chiku,take,bamboo,9.0,0.269,2.0
708,超,chou,koeru,"transcend;, super-;, ultra-",9.0,0.269,2.0
709,並,hei,"nami, nami, naraberu","row, and, besides",9.0,0.269,2.0
710,療,ryou,/,"heal;, cure",9.0,0.269,2.0
711,採,sai,toru,"pick;, take;, fetch;, take, up",9.0,0.269,2.0
712,森,shin,mori,"forest, woods",9.0,0.269,2.0
713,競,"kyou, kei","kisou, seru","compete, with;, bid;, contest;, race",9.0,0.269,2.0
714,介,kai,/,"jammed, in;, shellfish;, mediate",9.0,0.269,2.0
715,根,kon,ne,"root;, radical",9.0,0.269,2.0
716,販,han,/,"marketing, sell, trade",9.0,0.269,2.0
717,歴,reki,/,"curriculum;, continuation;, passage, of, time",9.0,0.269,2.0
718,将,shou,"masani, hata","leader;, commander;, general;, admiral",9.0,0.269,2.0
719,幅,fuku,haba,"hanging, scroll;, width",9.0,0.269,2.0
720,般,han,/,"carrier;, carry;, all;, general;, sort;, kind",9.0,0.269,2.0
721,貿,bou,/,"trade;, exchange",9.0,0.269,2.0
722,講,kou,/,"lecture;, club;, association",9.0,0.269,2.0
723,林,rin,hayashi,"grove;, forest",9.0,0.269,2.0
724,装,"sou, shou",yosoou,"attire;, dress;, pretend;, disguise",9.0,0.269,2.0
725,諸,sho,moro,"various;, many;, several;, together",9.0,0.269,2.0
726,劇,geki,/,"drama;, play",9.0,0.269,2.0
727,河,ka,kawa,river,9.0,0.269,2.0
728,航,kou,/,"navigate;, sail;, cruise;, fly",9.0,0.269,2.0
729,鉄,tetsu,kurogane,iron,9.0,0.269,2.0
730,児,ji,ko,"newborn, babe;, child",9.0,0.269,2.0
731,禁,kin,/,"prohibition;, ban;, forbid",9.0,0.269,2.0
732,印,in,shirushi,"stamp;, seal;, mark;, symbol;, trademark",9.0,0.269,2.0
733,逆,gyaku,sakarau,"inverted;, reverse;, opposite",9.0,0.269,2.0
734,換,kan,kaeru,"interchange;, period;, change;, convert;, replace;, renew",9.0,0.269,2.0
735,久,"kyuu, ku",hisashii,"long, time;, old, story",9.0,0.269,2.0
736,短,tan,mijikai,"short;, fault;, defect;, weak, point",9.0,0.269,2.0
737,油,yu,abura,"oil;, fat",9.0,0.269,2.0
738,暴,"bou, baku",abaku,"outburst;, force;, violence",9.0,0.269,2.0
739,輪,rin,wa,"wheel;, ring;, circle;, link;, loop;, counter, for, wheels, and, flowers",9.0,0.269,2.0
740,占,sen,"shimeru, uranau","fortune-telling;, divining;, forecasting",9.0,0.269,2.0
741,植,shoku,ueru,plant,9.0,0.269,2.0
742,清,sei,kiyoi,"pure;, purify;, cleanse",9.0,0.269,2.0
743,倍,bai,/,"double;, twice;, times;, fold",9.0,0.269,2.0
744,均,kin,narasu,"level;, average",9.0,0.269,2.0
745,億,oku,/,"hundred, million;, 10**8",9.0,0.269,2.0
746,圧,atsu,osu,"pressure;, push;, overwhelm;, oppress",9.0,0.269,2.0
747,芸,gei,"ueru, nori, waza","technique;, art;, craft;, performance;, acting",9.0,0.269,2.0
748,署,sho,/,"signature;, govt, office;, police, station",9.0,0.269,2.0
749,伸,shin,nobiru,"expand;, stretch;, extend",9.0,0.269,2.0
750,停,tei,tomeru,"halt;, stopping",9.0,0.269,2.0
751,爆,baku,hazeru,"bomb;, burst, open",9.0,0.269,2.0
752,陸,"riku, roku",oka,"land;, six",14.0,0.269,2.0
753,玉,gyoku,tama,"jewel;, ball",9.0,0.269,2.0
754,波,ha,nami,"waves;, billows",9.0,0.269,2.0
755,帯,tai,obiru,"sash;, belt;, obi;, zone;, region",9.0,0.269,2.0
756,延,en,nobiru,"prolong;, stretching",9.0,0.269,2.0
757,羽,u,"ha, wa, hane","feathers;, counter, for, birds, rabbits",9.0,0.269,2.0
758,固,ko,katameru,"harden;, set;, clot;, curdle",9.0,0.269,2.0
759,則,soku,nottoru,"rule;, follow;, based, on",9.0,0.269,2.0
760,乱,ran,midareru,"riot;, war;, disorder;, disturb",9.0,0.269,2.0
761,普,fu,amaneku,"universal;, generally",9.0,0.269,2.0
762,測,soku,hakaru,"fathom;, plan;, scheme;, measure",9.0,0.269,2.0
763,豊,"hou, bu","yutaka, toyo","bountiful;, excellent;, rich",9.0,0.269,2.0
764,厚,kou,atsui,"thick;, heavy;, rich",9.0,0.269,2.0
765,齢,rei,"yowai, toshi",age,9.0,0.269,2.0
766,囲,i,kakomu,"surround;, enclosure;, preserve;, keep",9.0,0.269,2.0
767,卒,sotsu,sossuru,"graduate;, soldier;, private;, die",9.0,0.269,2.0
768,略,ryaku,hobo,"abbreviation;, omission;, outline;, shorten",9.0,0.269,2.0
769,承,shou,uketamawaru,"hear;, listen, to;, be, informed;, receive",9.0,0.269,2.0
770,順,jun,/,"obey;, order;, turn;, occasion",9.0,0.269,2.0
771,岩,gan,iwa,"boulder;, rock;, cliff",9.0,0.269,2.0
772,練,ren,neru,"practice, gloss, train, drill, polish, refine",9.0,0.269,2.0
773,軽,kei,karui,"lightly;, trifling;, unimportant",9.0,0.269,2.0
774,了,ryou,/,"complete;, finish",9.0,0.269,2.0
775,庁,chou,yakusho,"government, office",9.0,0.269,2.0
776,城,"jou, sei",shiro,castle,9.0,0.269,2.0
777,患,kan,wazurau,"afflicted;, disease;, suffer, from;, be, ill",9.0,0.269,2.0
778,層,sou,/,"stratum;, social, class;, layer;, story;, floor",9.0,0.269,2.0
779,版,han,/,"printing, block;, edition;, impression;, label",9.0,0.269,2.0
780,令,rei,/,"orders;, command;, decree",9.0,0.269,2.0
781,角,kaku,"kado, tsuno","angle;, corner;, square",9.0,0.269,2.0
782,絡,raku,karamu,"entwine;, coil, around;, get, caught, in",9.0,0.269,2.0
783,損,son,sokonau,"damage;, loss;, disadvantage;, hurt;, injure",9.0,0.269,2.0
784,募,bo,tsunoru,"recruit;, campaign",9.0,0.269,2.0
785,裏,ri,ura,"back;, reverse;, inside;, rear",9.0,0.269,2.0
786,仏,butsu,hotoke,"Buddha, the, dead, France",9.0,0.269,2.0
787,績,seki,/,"exploits;, achievements",9.0,0.269,2.0
788,築,chiku,kizuku,"fabricate;, build;, construct",9.0,0.269,2.0
789,貨,ka,takara,"freight;, goods;, property",9.0,0.269,2.0
790,混,kon,majiru,"mix;, blend;, confuse",9.0,0.269,2.0
791,昇,shou,noboru,"rise, up",9.0,0.269,2.0
792,池,chi,ike,"pond;, pool;, reservoir",9.0,0.269,2.0
793,血,ketsu,chi,blood,9.0,0.269,2.0
794,温,on,"atatakai, nuku",warm,9.0,0.269,2.0
795,季,ki,/,seasons,9.0,0.269,2.0
796,星,sei,hoshi,star,9.0,0.269,2.0
797,永,ei,nagai,"eternity;, long;, lengthy",9.0,0.269,2.0
798,著,"cho, chaku","arawasu, ichijirushii","renowned;, publish;, write",9.0,0.269,2.0
799,誌,shi,/,"document;, records",9.0,0.269,2.0
800,庫,"ko, ku",kura,"warehouse;, storehouse",9.0,0.269,2.0
801,刊,kan,/,"publish;, carve;, engrave",9.0,0.269,2.0
802,像,zou,/,"statue;, picture;, image;, figure",14.0,0.269,2.0
803,香,"kou, kyou",kaori,"incense;, smell;, perfume",14.0,0.269,2.0
804,坂,han,saka,"slope;, incline;, hill",9.0,0.269,2.0
805,底,tei,soko,"bottom;, sole;, depth;, bottom, price",9.0,0.269,2.0
806,布,fu,"nuno, shiku","linen;, cloth;, spread;, distribute",9.0,0.269,2.0
807,寺,ji,tera,"Buddhist, temple",9.0,0.269,2.0
808,宇,u,/,"eaves;, roof;, house;, heaven",9.0,0.269,2.0
809,巨,kyo,/,"gigantic;, big;, large;, great",9.0,0.269,2.0
810,震,shin,furuu,"quake;, shake;, tremble;, quiver",9.0,0.269,2.0
811,希,ki,"mare, koinegau","hope;, beg;, request;, pray",9.0,0.269,2.0
812,触,shoku,"fureru, sawaru","contact;, touch;, feel;, hit;, proclaim;, announce",9.0,0.269,2.0
813,依,"i, e",yoru,"reliant;, depend, on;, consequently;, therefore;, due, to",9.0,0.269,2.0
814,籍,seki,/,"enroll;, register;, membership",9.0,0.269,2.0
815,汚,o,"yogosu, kitanai, kegasu","dirty;, pollute;, disgrace;, defile",9.0,0.269,2.0
816,枚,"mai, bai",/,"sheet, of...;, counter, for, flat, thin, objects",9.0,0.269,2.0
817,複,fuku,/,"duplicate;, double;, compound;, multiple",9.0,0.269,2.0
818,郵,yuu,/,"mail;, stagecoach, stop",9.0,0.269,2.0
819,仲,chuu,naka,"go-between;, relationship",9.0,0.269,2.0
820,栄,ei,sakaeru,"flourish;, prosperity;, honor",9.0,0.269,2.0
821,札,satsu,fuda,"ticket;, paper, money;, banknote;, note",9.0,0.269,2.0
822,板,"han, ban",ita,"plank;, board;, plate;, stage",9.0,0.269,2.0
823,骨,kotsu,hone,"skeleton;, bone;, remains;, frame",9.0,0.269,2.0
824,傾,kei,katamuku,"lean;, incline;, tilt;, trend;, bias",9.0,0.269,2.0
825,届,kai,todokeru,"deliver;, reach;, arrive;, report",9.0,0.269,2.0
826,巻,kan,"maku, maki","scroll;, volume;, book;, part;, roll, up;, wind, up;, coil;, counter, for, texts, or, book, scrolls",9.0,0.269,2.0
827,燃,nen,moeru,"burn;, blaze;, glow",9.0,0.269,2.0
828,跡,seki,ato,"tracks;, mark;, print;, impression",9.0,0.269,2.0
829,包,hou,"tsutsumu, kurumu","wrap;, pack, up;, cover;, conceal",9.0,0.269,2.0
830,駐,chuu,/,"stop-over;, reside, in;, resident",9.0,0.269,2.0
831,弱,jaku,yowai,"weak;, frail",9.0,0.269,2.0
832,紹,shou,/,"introduce;, inherit;, help",9.0,0.269,2.0
833,雇,ko,yatou,"employ;, hire",9.0,0.269,2.0
834,替,tai,kawaru,"exchange, spare, substitute",9.0,0.269,2.0
835,預,yo,azukeru,"deposit;, custody;, leave, with;, entrust, to",9.0,0.269,2.0
836,焼,shou,yaku,"bake;, burning",9.0,0.269,2.0
837,簡,kan,"fuda, erabu","simplicity;, brevity",9.0,0.269,2.0
838,章,shou,/,"badge;, chapter;, composition;, poem",9.0,0.269,2.0
839,臓,zou,harawata,"entrails;, viscera;, bowels",9.0,0.269,2.0
840,律,"ritsu, richi",/,"rhythm;, law;, regulation;, control",9.0,0.269,2.0
841,贈,zou,okuru,"presents;, send;, give, to;, award, to",9.0,0.269,2.0
842,照,shou,teru,"illuminate;, shine;, compare",9.0,0.269,2.0
843,薄,haku,usui,"dilute;, thin;, weak, tea",9.0,0.269,2.0
844,群,gun,"mureru, muragaru","flock;, group;, crowd;, herd",9.0,0.269,2.0
845,秒,byou,/,second,9.0,0.269,2.0
846,奥,ou,oku,"heart;, interior",9.0,0.269,2.0
847,詰,kitsu,tsumeru,"packed;, close;, rebuke;, blame",9.0,0.269,2.0
848,双,sou,futa,"pair;, set;, comparison;, counter, for, pairs",9.0,0.269,2.0
849,刺,shi,"sasu, toge","thorn, pierce, stab, prick, sting",9.0,0.269,2.0
850,純,jun,/,"genuine;, purity;, innocence",9.0,0.269,2.0
851,翌,yoku,/,"the, following;, next",9.0,0.269,2.0
852,快,kai,kokoroyoi,"cheerful;, pleasant;, agreeable;, comfortable",9.0,0.269,2.0
853,片,hen,kata,"one-sided;, piece",9.0,0.269,2.0
854,敬,kei,uyamau,"awe;, respect;, honor;, revere",9.0,0.269,2.0
855,悩,nou,nayamu,"trouble;, worry;, in, pain;, distress;, illness",9.0,0.269,2.0
856,泉,sen,izumi,"spring;, fountain",9.0,0.269,2.0
857,皮,hi,kawa,"skin;, hide;, leather",9.0,0.269,2.0
858,漁,"gyo, ryou",asaru,"fishing;, fishery",9.0,0.269,2.0
859,荒,kou,"arai, areru","rough;, wild",9.0,0.269,2.0
860,貯,cho,tameru,"savings;, store",9.0,0.269,2.0
861,硬,kou,katai,"stiff;, hard",9.0,0.269,2.0
862,埋,mai,umeru,"bury;, be, filled, up;, embedded",9.0,0.269,2.0
863,柱,chuu,hashira,"pillar;, post;, cylinder;, support",9.0,0.269,2.0
864,祭,sai,matsuri,"ritual;, offer, prayers;, celebrate",9.0,0.269,2.0
865,袋,tai,fukuro,"sack;, bag;, pouch",9.0,0.269,2.0
866,筆,hitsu,fude,"writing, brush;, writing;, painting, brush;, handwriting",9.0,0.269,2.0
867,訓,kun,"yomu, kunzuru","instruction, explanation, read",9.0,0.269,2.0
868,浴,yoku,abiru,"bathe;, be, favored, with;, bask, in",9.0,0.269,2.0
869,童,dou,warabe,"juvenile;, child",9.0,0.269,2.0
870,宝,hou,takara,"treasure;, wealth;, valuables",9.0,0.269,2.0
871,封,"fuu, hou",/,"seal;, closing",9.0,0.269,2.0
872,胸,kyou,mune,"bosom;, breast;, chest;, heart;, feelings",9.0,0.269,2.0
873,砂,"sa, sha",suna,sand,9.0,0.269,2.0
874,塩,en,shio,salt,9.0,0.269,2.0
875,賢,ken,kashikoi,"intelligent;, wise;, wisdom;, cleverness",9.0,0.269,2.0
876,腕,wan,ude,"arm;, ability;, talent",9.0,0.269,2.0
877,兆,chou,kizasu,"trillion;, sign;, omen;, symptoms",9.0,0.269,2.0
878,床,shou,"toko, yuka","bed;, counter, for, beds;, floor;, padding;, tatami",9.0,0.269,2.0
879,毛,mou,ke,"fur;, hair;, feather",9.0,0.269,2.0
880,緑,"ryoku, roku",midori,green,9.0,0.269,2.0
881,尊,son,toutoi,"revered;, valuable;, precious;, noble",9.0,0.269,2.0
882,祝,shuku,iwau,"celebrate;, congratulate",9.0,0.269,2.0
883,柔,"juu, nyuu",yawarakai,"tender;, weakness;, gentleness;, softness",9.0,0.269,2.0
884,殿,den,"tono, dono","Mr.;, hall;, mansion;, palace;, temple;, lord",9.0,0.269,2.0
885,濃,nou,koi,"concentrated;, thick;, dark;, undiluted",9.0,0.269,2.0
886,液,eki,/,"fluid;, liquid;, juice;, sap;, secretion",9.0,0.269,2.0
887,衣,"i, e","koromo, kinu","garment;, clothes;, dressing",9.0,0.269,2.0
888,肩,ken,kata,shoulder,9.0,0.269,2.0
889,零,rei,zero,"zero;, spill;, overflow;, nothing",9.0,0.269,2.0
890,幼,you,osanai,"infancy;, childhood",9.0,0.269,2.0
891,荷,ka,ni,"baggage;, load;, cargo;, freight",9.0,0.269,2.0
892,泊,haku,tomaru,"overnight, stay",9.0,0.269,2.0
893,黄,"kou, ou",ki,yellow,9.0,0.269,2.0
894,甘,kan,amai,"sweet;, coax;, pamper;, sugary",9.0,0.269,2.0
895,臣,"shin, jin",/,"retainer;, subject",9.0,0.269,2.0
896,浅,sen,asai,"shallow;, superficial;, frivolous",9.0,0.269,2.0
897,掃,sou,haku,"sweep;, brush",9.0,0.269,2.0
898,雲,un,kumo,cloud,9.0,0.269,2.0
899,掘,kutsu,horu,"dig;, delve;, excavate",9.0,0.269,2.0
900,捨,sha,suteru,"discard;, throw, away;, abandon",9.0,0.269,2.0
901,軟,/,yawarakai,soft,9.0,0.269,2.0
902,沈,"chin, jin",shizumu,"sink;, be, submerged;, subside;, be, depressed",9.0,0.269,2.0
903,凍,tou,"kooru, kogoeru","frozen;, refrigerate",9.0,0.269,2.0
904,乳,nyuu,"chichi, chi","milk, breasts",9.0,0.269,2.0
905,恋,ren,koishii,"romance;, in, love;, yearn, for;, miss",9.0,0.269,2.0
906,紅,"kou, ku","beni, kurenai","crimson;, deep, red",9.0,0.269,2.0
907,郊,kou,/,"outskirts, suburbs, rural, area",9.0,0.269,2.0
908,腰,you,koshi,"loins;, hips;, waist",9.0,0.269,2.0
909,炭,tan,sumi,"charcoal;, coal",9.0,0.269,2.0
910,踊,you,odoru,"jump;, dance;, leap;, skip",9.0,0.269,2.0
911,冊,satsu,fumi,"counter, for, books;, volume",9.0,0.269,2.0
912,勇,yuu,isamu,"courage;, cheer, up;, bravery;, heroism",9.0,0.269,2.0
913,械,kai,kase,"contraption;, machine;, instrument",9.0,0.269,2.0
914,菜,sai,na,"vegetable;, side, dish;, greens",9.0,0.269,2.0
915,珍,chin,mezurashii,"rare;, curious;, strange",9.0,0.269,2.0
916,卵,ran,tamago,egg,9.0,0.269,2.0
917,湖,ko,mizuumi,lake,9.0,0.269,2.0
918,喫,kitsu,nomu,"consume, eat, drink, smoke, receive",9.0,0.269,2.0
919,干,kan,"hosu, hiru","dry;, parch",9.0,0.269,2.0
920,虫,"chuu, ki",mushi,"insect;, bug",9.0,0.269,2.0
921,刷,satsu,"suru, haku","printing;, print;, brush",9.0,0.269,2.0
922,湯,tou,yu,"hot, water;, bath;, hot, spring",9.0,0.269,2.0
923,溶,you,tokeru,"melt;, dissolve;, thaw",14.0,0.269,2.0
924,鉱,kou,aragane,"mineral;, ore",9.0,0.269,2.0
925,涙,rui,namida,"tears;, sympathy",9.0,0.269,2.0
926,匹,hitsu,hiki,"counter, for, small, animals",9.0,0.269,2.0
927,孫,son,mago,"grandchild;, descendants",9.0,0.269,2.0
928,鋭,ei,surudoi,"pointed;, sharpness;, edge;, weapon;, sharp;, violent",9.0,0.269,2.0
929,枝,shi,eda,"bough;, branch;, twig;, limb;, counter, for, branches",9.0,0.269,2.0
930,塗,to,"paint;, smear;, coating",15,9.0,0.0,
931,軒,ken,noki,"flats;, counter, for, houses",9.0,0.269,2.0
932,毒,doku,/,"poison;, germ;, harm",9.0,0.269,2.0
933,叫,kyou,sakebu,"shout;, exclaim;, yell",9.0,0.269,2.0
934,拝,hai,ogamu,"worship;, adore;, pray, to",9.0,0.269,2.0
935,氷,hyou,"koori, hi","ice;, hail;, freeze",9.0,0.269,2.0
936,乾,kan,kawaku,"drought;, dry;, drink, up;, heaven",9.0,0.269,2.0
937,棒,bou,/,"rod;, stick;, cane;, pole",9.0,0.269,2.0
938,祈,ki,inoru,"pray;, wish",9.0,0.269,2.0
939,拾,shuu,hirou,"pick, up;, gather;, find",9.0,0.269,2.0
940,粉,fun,"ko, kona","flour;, powder;, dust",9.0,0.269,2.0
941,糸,shi,ito,thread,9.0,0.269,2.0
942,綿,men,wata,cotton,9.0,0.269,2.0
943,汗,kan,ase,"sweat;, perspire",9.0,0.269,2.0
944,銅,dou,akagane,copper,9.0,0.269,2.0
945,湿,shitsu,shimeru,"damp;, wet;, moist",9.0,0.269,2.0
946,瓶,bin,"kame, hei","bottle;, jar;, jug;, urn",9.0,0.269,2.0
947,咲,shou,saku,"blossom;, bloom",9.0,0.269,2.0
948,召,shou,mesu,"call;, send, for;, wear;, buy, to, eat, to, drink",9.0,0.269,2.0
949,缶,kan,kama,"tin, can;, container",9.0,0.269,2.0
950,隻,seki,/,"vessels;, counter, for, ships;, fish;, one, of, a, pair",9.0,0.269,2.0
951,脂,shi,abura,"fat;, grease;, lard",9.0,0.269,2.0
952,蒸,"jou, sei",musu,"steam;, heat;, foment",9.0,0.269,2.0
953,肌,ki,hada,"texture;, skin;, body;, grain",9.0,0.269,2.0
954,耕,kou,tagayasu,"till;, plow;, cultivate",9.0,0.269,2.0
955,鈍,don,"nibui, namakura","dull;, slow;, foolish;, blunt",9.0,0.269,2.0
956,泥,dei,doro,"mud;, adhere, to;, be, attached, to",9.0,0.269,2.0
957,隅,guu,sumi,"corner;, nook",9.0,0.269,2.0
958,灯,tou,"hi, tomosu","lamp;, a, light;, counter, for, lights",9.0,0.269,2.0
959,辛,shin,"karai, tsurai","spicy;, hot",9.0,0.269,2.0
960,磨,ma,migaku,"grind;, polish;, improve;, brush, teeth",9.0,0.269,2.0
961,麦,baku,mugi,"barley;, wheat",9.0,0.269,2.0
962,姓,"sei, shou",/,surname,9.0,0.269,2.0
963,筒,tou,tsutsu,"cylinder;, pipe;, tube",9.0,0.269,2.0
964,鼻,bi,hana,"nose;, snout",9.0,0.269,2.0
965,粒,ryuu,tsubu,"grains;, drop;, counter, for, tiny, particles",9.0,0.269,2.0
966,詞,shi,kotoba,"part, of, speech;, words",9.0,0.269,2.0
967,胃,i,/,"stomach;, crop",9.0,0.269,2.0
968,畳,"jou, chou",tatami,"tatami, mat;, fold",9.0,0.269,2.0
969,机,ki,tsukue,"desk;, table",9.0,0.269,2.0
970,膚,fu,hada,"skin;, body;, texture",9.0,0.269,2.0
971,濯,taku,susugu,"laundry;, wash;, rinse",9.0,0.269,2.0
972,塔,tou,/,"pagoda;, tower;, steeple",9.0,0.269,2.0
973,沸,futsu,waku,"seethe;, boil;, ferment",9.0,0.269,2.0
974,灰,kai,hai,"ashes;, cremate",9.0,0.269,2.0
975,菓,ka,/,"candy;, cakes;, fruit",9.0,0.269,2.0
976,帽,bou,"cap;, headgear",15,9.0,0.0,
977,枯,ko,kareru,"wither;, die;, dry, up;, be, seasoned",9.0,0.269,2.0
978,涼,ryou,suzushii,"refreshing;, nice, and, cool",9.0,0.269,2.0
979,舟,shuu,fune,"boat;, ship",9.0,0.269,2.0
980,貝,bai,kai,shellfish,9.0,0.269,2.0
981,符,fu,/,"token;, sign;, mark",9.0,0.269,2.0
982,憎,zou,nikumu,"hate;, detest",9.0,0.269,2.0
983,皿,bei,"sara, zara","dish;, a, helping;, plate",9.0,0.269,2.0
984,肯,kou,gaenjiru,"agreement;, consent;, comply, with",9.0,0.269,2.0
985,燥,sou,hashagu,"parch;, dry, up",9.0,0.269,2.0
986,畜,chiku,/,"livestock;, domestic, fowl, and, animals",9.0,0.269,2.0
987,坊,"bou, bo",/,"boy, priest",9.0,0.269,2.0
988,挟,kyou,hasamu,"pinch;, between",9.0,0.269,2.0
989,曇,don,kumoru,"cloudy, weather",9.0,0.269,2.0
990,滴,teki,"shizuku, shitataru","drip;, drop",9.0,0.269,2.0
991,伺,shi,ukagau,"visit;, ask;, inquire;, question",9.0,0.269,2.0
